Property_id,Price,Category,Square_foot,Address,City,State,Zip Code,Property_link,Latitude,Longitude
121,7490000,retail,21755,7201 Pacific Ave, Stockton, CA ,95207,https://www.crexi.com/properties/1632408/california-high-traffic-contiguous-lots-7277-7233-7201-pacific-ave,38.0148591,-121.3226037
122,2812400,retail,7120,1061 Serpentine Ln, Pleasanton, CA ,94566,https://www.crexi.com/properties/1572480/california-1061-serpentine-lane,37.6690658,-121.8679132
123,924500,office,1696,17977 Sonoma Hwy, Sonoma, CA ,95476,https://www.crexi.com/properties/840788/california-17977-sonoma-hwy,38.3154177,-122.4819424
124,7488000,office,14628,5150 Graves Ave, San Jose, CA ,95129,https://www.crexi.com/properties/1229134/california-west-valley-professional-center---bldgs-11-12,37.2936539,-121.993215
125,652850,retail,1187,959 Story Rd Bldg H  2nd floor(5200), San Jose, CA ,95122,https://www.crexi.com/properties/1532583/california-959-story-rd-bldg-h-2nd-floor5200,37.3324894,-121.8588518
126,3900000,restaurant,5500,525 Commercial St, San Francisco, CA ,94111,https://www.crexi.com/properties/746444/california-525-commercial-st,37.7942681,-122.4018296
127,4900000,office,7500,1550 Steiner St, San Francisco, CA ,94115,https://www.crexi.com/properties/1408402/california-1550-steiner-st,37.7836367,-122.4341078
128,3200000,restaurant,6500,2350 Webster St, Oakland, CA ,94612,https://www.crexi.com/properties/1317180/california-broadway-turnkey-auto-repair-facility,37.8130465,-122.2646355
129,1400000,retail,3800,91 Charter Oak Ave, San Francisco, CA ,94124,https://www.crexi.com/properties/1501233/california-91-charter-oak-avenue,37.7368551,-122.4045812
130,463000,retail,1152,1055 Soscol Ferry Rd - Unit C-103, Napa, CA ,94558,https://www.crexi.com/properties/1615426/california-napa-vault---unit-c-103,38.2398182,-122.2741399
131,14500000,retail,50474, 6604 - 6632 Dublin Blvd, Dublin, CA ,94568,https://www.crexi.com/properties/1231983/california-6500-6604---6632-dublin-blvd,37.703378,-121.9106105
132,2052826,retail,2258,1504 Pacific Ave, Stockton, CA ,95204,https://www.crexi.com/properties/1551692/california-jack-in-the-box---stockton-ca,37.9672659,-121.2978407
133,470000,retail,1152,1055 Soscol Ferry Rd - A-107, Napa, CA ,94558,https://www.crexi.com/properties/1615379/california-napa-vault---unit-a-107,38.2398182,-122.2741399
134,3995000,retail,14500,6017 International Blvd, Oakland, CA ,94621,https://www.crexi.com/properties/1509275/california-6017-international,37.7643662,-122.1986383
135,3090000,mixed use,10943,2712-2726 Park Blvd, Oakland, CA ,94606,https://www.crexi.com/properties/1282570/california-2712-2726-park-blvd,37.8021461,-122.2411467
136,3925000,services,6945,602 E Santa Clara St, San Jose, CA ,95112,https://www.crexi.com/properties/1217129/california-602-e-santa-clara-st,37.3420416,-121.877741
137,7988800,retail,12427,348 Fourth Ave, Redwood City, CA ,94063,https://www.crexi.com/properties/1636719/california-duplicate,37.4718478,-122.205558
138,6400000,retail,16834,2641 Mission St, San Francisco, CA ,94110,https://www.crexi.com/properties/1553536/california-2641-mission-street,37.7547946,-122.4185067
139,3565000,services,6271,12891 Byron Hwy, Byron, CA ,94514,https://www.crexi.com/properties/1578078/california-borba-ranch,37.899705,-121.636518
140,4500000,office,13952,4145 Blackhawk Plaza Cir, Danville, CA ,94506,https://www.crexi.com/properties/1073902/california-4145-blackhawk-plaza-circle,37.8020471,-121.9190419
141,499950,restaurant,5725,1126 E 11th St, Oakland, CA ,94606,https://www.crexi.com/properties/1651374/california-two-adjacent-commercialresi-lots-with-shipping-containers,37.7901075,-122.2501342
142,750000,office,2137,690 Pinnacle Pl, Livermore, CA ,94550,https://www.crexi.com/properties/1469559/california-690-pinnacle-place,37.7019339,-121.7003726
143,3100000,Office,6271,Via Vespero, San Jose, CA ,95120,https://www.crexi.com/properties/1641514/california-evans-ranch,37.1662853,-121.8222218
144,8995000,Services,71874,2560 Fontaine Rd, San Jose, CA ,95121,https://www.crexi.com/properties/1491073/california-fontaine-road,37.3171197,-121.8285178
145,1399999,retail,4242,1260 A St, Hayward, CA ,94541,https://www.crexi.com/properties/1629073/california-1260-a-st,37.6772151,-122.0796087
146,455000,retail,1152,1055 Soscol Ferry Road, Napa, CA ,94558,https://www.crexi.com/properties/1618058/california-napa-vault---unit-c-118,38.2398182,-122.2741399
147,1100000,restaurant,6427,2225 Monte Diablo Ave, Stockton, CA ,95203,https://www.crexi.com/properties/1634535/california-standalone-Retail-10yr-lease-with-sherwin-williams,37.9576861,-121.327771
148,4400000,retail,3826,1020 S Winchester Blvd, San Jose, CA ,95128,https://www.crexi.com/properties/1290397/california-1020-s-winchester-blvd-san-jose,37.3086632,-121.9496804
149,1967502,Services,10000,1322 S El Dorado St building 1, Stockton, CA ,95206,https://www.crexi.com/properties/1664442/california-1322-south-el-dorado,37.9394949,-121.285954
150,4500000,retail,10000,1550 Wallace Ave, San Francisco, CA ,94124,https://www.crexi.com/properties/1281801/california-1550-wallace-avenue,37.7272655,-122.3902219
151,820000,retail,1832,2092 Concourse Dr, San Jose, CA ,95131,https://www.crexi.com/properties/1470893/california-lundy-plaza,37.3964252,-121.8890874
152,836880,retail,1268,959 Story Rd Bldg H 1st floor(5175), San Jose, CA ,95122,https://www.crexi.com/properties/1532579/california-959-story-rd-bldg-h-1st-floor5175,37.3324894,-121.8588518
153,2191600,retail,11139,1086 Grand Ave, South San Francisco, CA ,94080,https://www.crexi.com/properties/1537397/california-1086-grand-avenue-south-san-francisco,37.660407,-122.437154
154,150000,retail,1817,1217 W March Ln, Stockton, CA ,95207,https://www.crexi.com/properties/1448826/california-ssongs-hotdog,37.9905982,-121.321683
155,658900,retail,1198,959 Story Rd Suite 5225, San Jose, CA ,95122,https://www.crexi.com/properties/1532596/california-959-story-rd-bldg-h-2nd-floor5225,37.3328726,-121.8584133
156,1700000,office,2600,27 S 13th St, San Jose, CA ,95112,https://www.crexi.com/properties/1543761/california-27-29-s-13th-street,37.3414056,-121.878061
157,2998000,office,10570,1900 Mountain Blvd, Oakland, CA ,94611,https://www.crexi.com/properties/1405588/california-1900-mountain-blvd---compass-space,37.8291144,-122.2106368
158,2500000,restaurant,5080,320 S 3rd St, San Jose, CA ,95112,https://www.crexi.com/properties/1062007/california-320-s-3rd-st,37.3322019,-121.8844258
159,658900,retail,1198,959 Story Rd Suite 5270, San Jose, CA ,95122,https://www.crexi.com/properties/1532612/california-bldg-h-2nd-floor-5270,37.3328726,-121.8584133
160,455000,retail,1152,1055 Soscol Ferry Rd, Napa,CA,94558,https://www.crexi.com/properties/1616128/california-napa-vault---unit-c-107,38.2398182,-122.2741399
161,5498000,restaurant,5498,889 McLellan Drive, South San Francisco, CA ,94080,https://www.crexi.com/properties/1304101/california-889-mclellan-drive-south-san-francisco-ca,37.665494,-122.445247
162,1800000,retail,9846,987 B St, Hayward, CA ,94541,https://www.crexi.com/properties/1634160/california-987-b-street,37.6725155,-122.0827237
163,16000000,office,74508,4637 Chabot Dr, Pleasanton, CA ,94588,https://www.crexi.com/properties/1036480/california-chabot-center,37.6924388,-121.9006395
164,8000000,Office,20754,815 Warrington Ave, Redwood City, CA ,94063,https://www.crexi.com/properties/1291412/california-815---831-warrington-ave,37.4824844,-122.2061158
165,1800000,office,2218,46356 Warm Springs Blvd, Fremont, CA ,94539,https://www.crexi.com/properties/1584361/california-46356-warm-springs-blvd-suite-872,37.4931238,-121.9309116
166,3500000,services,7200,6147 Geary Blvd, San Francisco, CA ,94121,https://www.crexi.com/properties/820229/california-fully-approved-adaptive-reuse,37.7798991,-122.4853905
167,2200000,restaurant,2500,1160 El Camino Real, San Carlos, CA ,94070,https://www.crexi.com/properties/1188263/california-owneruser-opportunity,37.49964,-122.2517628
168,2213440,retail,11250,37753 Niles Blvd, Fremont, CA ,94536,https://www.crexi.com/properties/1129262/california-37753-niles-blvd,37.5761822,-121.9761992
169,2995750,retail,11983,2155 S 10th St, San Jose, CA ,95112,https://www.crexi.com/properties/1310926/california-south-10th-street-condos,37.309405,-121.857235
170,4400000,retail,3826,1020 S Winchester Blvd, San Jose, CA ,95128,https://www.crexi.com/properties/1290399/california-1020-s-winchester-blvd-san-jose,37.3086632,-121.9496804
171,2660000,services,4400,414-416 Cortland Ave, San Francisco, CA ,94110,https://www.crexi.com/properties/1656607/california-414-416-cortland-ave,37.738904,-122.417345
172,2700000,retail,8658,2818 N Main St, Walnut Creek, CA ,94597,https://www.crexi.com/properties/1325122/california-2818-north-main-st-walnut-creek-ca,37.9250179,-122.0626072
173,2100000,services,7840,2317 Santa Clara Ave, Alameda, CA ,94501,https://www.crexi.com/properties/1576046/california-2317-santa-clara,37.7657823,-122.2425915
174,1650000,retail,3754,2156 Ringwood Ave, San Jose, CA ,95131,https://www.crexi.com/properties/1662990/california-2156-ringwood-avenue,37.3980005,-121.8974794
175,615000,retail,1171,97 E St James St, San Jose, CA ,95112,https://www.crexi.com/properties/1518517/california-97-saint-james-prime-downtown-location,37.3402198,-121.8910805
176,798600,retail,1210,959 Story Rd Bldg H 1st floor(5165), San Jose, CA ,95122,https://www.crexi.com/properties/1532573/california-959-story-rd-bldg-h-1st-floor5165,37.3324894,-121.8588518
177,3000000,retail,3500,5607 Pacific Ave, Stockton, CA ,95207,https://www.crexi.com/properties/1280242/california-aspen-dental,38.0007626,-121.316951
178,3856697,Services,19602,125 Aspen Dr, Pacheco, CA ,94553,https://www.crexi.com/properties/1499358/california-125-aspen-drive,37.986282,-122.070354
